,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment
271,TROW,t._rowe_price,43.44,0.87,0.03718501168335584,1.95,4.93,-2394.0,3678.8999999999996,0.78,0.0501,0.053899999999999997
272,TPR,tapestry,36.72,1.65,0.1657880864522931,0.91,36.31,843.4,515.0,1.65,0.16570000000000001,inf
273,TGT,target,13.9,1.87,0.13916043703277745,1.54,0.5,1231.6,-164.60000000000002,1.38,0.2696,0.2322
274,TEL,te_connectivity,17.03,0.97,0.21010185393438935,2.94,1.22,7918.0,582.0000000000001,0.33,0.4672,0.3332
275,TDY,teledyne_technologies,23.76,1.56,0.14482922765678924,1.02,1.02,2072.0,130.1999999999995,1.02,0.2249,0.17850000000000002
276,TFX,teleflex,43.69,1.78,0.11100832562442182,0.95,0.95,547.5,361.79999999999995,1.2,0.0781,0.0666
277,TER,teradyne,35.9,2.74,0.06397459165154265,0.93,0.65,346.45,234.10000000000005,1.88,0.1252,0.08410000000000001
278,TSLA,tesla,30.8,3.35,0.3144696712978651,0.48,1.69,683.96,-20.00000000000003,3.05,0.4129,0.44659999999999994
279,TXN,texas_instruments,342.0,1.39,0.05261213720316623,1.07,1.94,2786.0,-591.3,1.1,0.1381,0.1344
280,TXT,textron,24.19,5.63,0.34750309533635987,0.92,0.8,5494.0,2312.3999999999974,4.86,0.6838,0.4854
281,TMO,thermo_fisher_scientific,22.71,2.66,0.04206029737944632,1.53,0.68,484.0,116.79999999999994,1.46,0.1293,0.08929999999999999
282,TJX,tjx_companies,31.01,3.19,0.1326683461564649,0.9,0.95,6823.0,3455.6000000000004,2.56,0.2361,0.1891
283,TSCO,tractor_supply_company,34.67,1.29,0.02908545727136432,3.67,1.33,3993.87,191.79999999999987,0.7,0.4301,0.4132
284,TT,trane_technologies,30.43,1.7,0.1879359095193214,2.83,0.88,1102.31,407.79999999999995,0.62,0.4686,0.4046
