Unnamed: 0,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment,price_trend
140,HES,hess_corporation,28.12,1.44,0.2462707182320442,2.72,1.27,1259.14,-1345.5000000000007,0.9,0.6154,0.3099,13.352768631252596
141,HLT,hilton_worldwide,6.16,0.91,0.03058467524046255,1.88,1.09,3723.0,80.60000000000069,0.69,0.1959,0.0388,14.511201370171628
142,HD,home_depot,10.63,2.39,0.3265736107453253,1.11,0.98,2174.2,628.3000000000002,2.01,0.4937,0.3821,21.16695496498922
143,HON,honeywell,27.74,1.13,0.38548982389539177,69.56,1.18,16376.0,5702.400000000002,0.37,7.8214,0.5981000000000001,12.839490896956299
144,HRL,hormel,26.8,1.29,0.12549296084954506,2.54,1.16,5359.0,3260.2,1.04,0.30260000000000004,0.188,11.799439766196778
145,HST,host_hotels_&_resorts,29.4,2.08,0.10372340425531916,0.82,2.1,771.73,423.1,1.12,0.13449999999999998,0.1255,12.09028147625888
146,HPQ,hp,48.97,2.33,0.06398855156904835,1.89,0.65,-144.0,414.3000000000001,1.16,0.0788,0.1033,12.39116635329523
147,HUM,humana,6.92,0.76,0.5572840025225982,-24.4,1.69,5827.0,-163.8,0.49,-2.1344,1.9363,15.488585974989805
148,IEX,idex_corporation,11.2,1.14,0.14011127971674253,3.75,14.04,740.0,574.2,1.09,0.3309,0.16899999999999998,14.721784357815865
149,IDXX,idexx_laboratories,41.83,3.38,0.12976338729763387,0.78,1.13,520.02,257.1,2.62,0.1638,0.1635,25.551512369398775
150,INFO,ihs_markit,75.42,1.48,0.4059579439252337,2.16,1.31,541.11,406.40000000000015,1.07,1.0666,0.6086,15.491272722919842
151,ILMN,illumina,28.7,2.2,0.22130077555094832,3.44,1.38,2581.0,941.1000000000008,1.69,0.8097,0.329,11.652364044641859
152,INCY,incyte,62.47,2.68,0.09146822267781107,0.42,0.84,891.0,828.6999999999998,2.24,0.1427,-0.0041,10.259489760128506
153,IR,ingersoll_rand,30.46,3.94,-0.0901331512461591,0.33,1.87,-311.98,45.70000000000004,3.91,0.1873,0.2213,12.9879671574476
154,INTC,intel,61.87,2.47,0.005906187761829545,0.71,0.94,867.4,127.70000000000006,1.94,0.046500000000000014,0.0462,11.217691260446422
155,ICE,intercontinental_exchange,10.0,2.07,0.18449862471461853,0.86,0.86,20931.0,4241.2,1.74,0.2511,0.173,13.757462919361082
156,IP,international_paper,25.27,0.84,0.05304818177120119,5.45,5.0,15767.0,2974.399999999992,0.78,0.22,0.0942,12.138790524528181
157,IPG,interpublic_group,10.3,2.11,0.07890244943244858,2.06,1.91,2320.0,873.2000000000003,1.67,0.2139,0.1223,13.052969091454514
158,INTU,intuit,122.48,1.99,0.04857535187092345,0.88,0.83,539.49,92.09999999999987,1.32,0.0139,0.0189,34.459837652369814
159,IVZ,invesco,77.55,5.58,0.10290082320658564,0.13,0.74,1143.3,575.2,5.01,0.1598,inf,12.164679277687371
160,IQV,iqvia,35.35,7.94,0.07313487688349872,0.15,0.44,198.53,277.30000000000007,6.45,0.0981,0.1289,18.670569836181052
161,JNJ,johnson_&_johnson,19.43,1.06,0.10337631363195944,0.96,1.22,1258.3,372.2,0.48,0.0933,0.1012,12.58560168496958
162,JCI,johnson_controls,25.57,1.34,0.126955234477081,1.55,0.7,20494.0,1554.4000000000021,1.11,0.2659,0.1997,14.106079784636574
163,JPM,jpmorgan_chase,35.66,1.1,0.07803732617711638,1.23,2.04,2123.0,-1054.7000000000003,0.87,0.08689999999999999,0.0975,14.056827006349343
164,K,kellogg's,79.36,1.67,0.04890551399279579,0.99,2.23,511.6,184.10000000000008,1.54,0.0341,0.0543,12.427948966636542
165,KEY,keycorp,17.6,0.76,0.13803103934786018,3.59,1.78,1481.0,429.9999999999997,0.48,0.332,0.1696,12.345860657411054
166,KMB,kimberly-clark,43.11,2.93,0.1668726823238566,1.06,0.59,1148.0,610.2,2.34,0.2447,0.1984,12.60850146297397
167,KIM,kimco_realty,24.31,0.78,0.2927797833935018,24.14,1.68,2543.0,438.89999999999964,0.49,2.5922,0.3315,12.51692530711506
168,KLAC,kla_corporation,20.6,0.46,0.02331873421127371,1.25,3.41,3896.0,-647.3000000000002,0.38,0.0553,0.047,19.979791403431285
169,KHC,kraft_heinz,24.36,2.44,0.3046033300685602,1.89,0.47,1972.09,45.70000000000002,1.76,0.8197,0.4119,11.970814797077544
170,KR,kroger,19.2,1.13,0.023188658479442948,0.89,1.51,4333.0,-1811.9,0.8,0.0458,0.0665,12.868330438954908
171,LHX,l3harris_technologies,34.03,0.8,0.08349351273426238,4.25,3.32,4115.0,1892.1000000000006,0.35,0.108,0.1067,15.396239144001525
172,LH,labcorp,28.21,1.54,0.060910757946210266,0.79,2.85,2513.0,286.4000000000001,1.3,0.07690000000000001,0.0793,17.684906106132033
173,LRCX,lam_research,11.15,2.08,0.14387430857949865,0.98,6.52,1795.7,1060.0,1.94,0.2752,0.2479,18.78521262048348
174,LW,lamb_weston,24.28,3.27,0.3625040439987059,1.67,0.81,3239.07,2013.0,2.43,0.7505,0.4584,9.965585898309403
175,LVS,las_vegas_sands,36.22,2.67,0.13223830734966593,8.77,1.78,406.0,288.7000000000001,1.95,0.5856,0.1269,9.960575939606894
176,LDOS,leidos,0.0,2.1,-0.09125310844415613,7.19,26.55,-2641.0,-242.60000000000016,2.09,-0.3762,-0.0558,11.148147012698454
177,LEN,lennar,16.46,1.07,0.10391503540191586,2.19,10.98,1163.0,391.3000000000001,0.99,0.192,0.136,13.938071527254298
178,LLY,eli_lilly,11.2,9.56,0.1822696796622796,0.58,0.29,4118.07,1597.2,1.41,0.2181,0.2004,18.456838567173314
179,LNC,lincoln_national,42.11,1.3,0.1773886562618957,5.06,0.37,5111.7,-2540.600000000001,1.02,0.8673000000000001,0.284,13.406225287757495
180,LYV,live_nation_entertainment,51.02,0.81,0.04459718884667535,0.84,2.58,4029.0,1221.6,0.7,0.0751,0.08,14.274646203432988
181,LMT,lockheed_martin,17.45,1.83,0.0950636328576938,1.11,0.81,1287.93,538.8,0.79,0.1775,0.1753,12.32897691298013
182,L,loews_corporation,16.4,1.42,0.2350382032248416,4.38,4.73,6417.0,2362.0,1.23,0.8493,0.4765,12.66714105589249
183,LUMN,lumen_technologies,22.46,1.19,0.3444742010355294,-32.35,0.92,9348.0,-1394.6000000000006,0.39,249.8015,0.5316,12.059223044551118
184,MTB,m&t_bank,5.39,1.89,0.05213872445737601,2.27,2.03,1457.0,-2699.5000000000023,1.22,0.5863,0.28550000000000003,12.39469484040055
185,MPC,marathon_petroleum,0.0,0.99,-0.07047721435823928,0.59,1.7,163.0,-1119.8000000000009,0.94,-0.0038,0.0206,13.371332247230718
186,MKTX,marketaxess,4.57,2.02,-0.17622850564788833,1.55,3.21,-218.0,-798.6000000000008,1.48,0.28800000000000003,0.0479,0.0
187,MAS,masco,37.81,6.66,0.09969249082432298,1.17,1.56,690.4,398.1,5.46,0.12,0.1078,12.730485798275504
188,MA,mastercard,38.37,1.81,0.336976320582878,54.4,1.31,840.0,88.60000000000004,1.22,2.3129,0.4802,11.963015662953467
189,MCD,mcdonald's,34.38,0.68,0.11058277120424638,1.93,0.79,816.0,360.7,0.3,0.1802,0.119,15.798587086269988
190,MCK,mckesson_corporation,27.64,1.33,0.15768849847134306,-10.29,55.29,4651.8,1997.4999999999973,1.32,-1.0975,0.3575,15.391936834401482
191,MDT,medtronic,0.0,0.99,-0.2410099464422341,-732.05,3.27,3901.0,-993.8000000000008,0.57,82.1709,-0.3754,11.962067703417969
